ID,Step
11,"When the pasta is al dente, drain it, reserving some of the cooking water. Add the pasta to the pan with the bacon and stir briefly (this helps to cool everything down slightly to avoid scrambling the eggs)."
11,"Now pour in the egg-cream mixture and mix everything together thoroughly. The residual heat from the pasta and bacon will gently cook the eggs and melt the cheese, resulting in an amazingly rich creamy sauce. Add some of the cooking water to achieve a more fluid consistency. Keep stirring until the sauce is silky and smooth, then serve and eat immediately."
,
13,"Make the honeyed oats; toast the oats in a dry pan until lightly coloured. Add 2 tablespoons of the honey and a pinch of sea salt, stir until reduced and the oats forms clusters. Transfer to a tray and leave to cool."
13,Take half of the raspberries and place in a pan with the remaining 2 tablespoons of honey. Stir over a high heat to make a sort of compôt. Bring to the boil then remove and allow to cool.
13,"Place the sugar, cream and whisky in a bowl and whisk until soft peaks form. Mix in the whole raspberries, saving a few back for garnish, about half of the raspberry compote, and most of the honeyed oats, saving some for garnish. Fold everything together to create a marble effect, then serve into bowls, finishing with the whole raspberries, honeyed oats and compote. Finally dust a little icing sugar over the top."
,
14,"Fill a large pan with water and bring to the boil. Season generously with salt (it should be almost as salty as the sea.) Drop the crab in the water, bring back to the boil, remove from the heat and allow to cool for at least 40 minutes. Remove the crab from the water, and place on a tray."
14,"Break off the claws, and smash them carefully with a hammer or large knife, trying not to smash into too many small pieces. Separate the meat from the shell, trying to keep it in nice big chunks. Repeat the process with the legs. Now prise the body from the main shell of the crab, and remove and discard the lungs (“dead man’s fingers”). Cut the body in half and carefully scrape out the meat with a crab picker or use the handle of a teaspoon. Cut the pieces in half again and scrape more out - you’ll be surprised how much is hidden in all the cavities. Carefully check the crab meat for pieces of shell, cover and place in the fridge."
14,"Heat the oven to 200C. Place a roasting tray in the oven until very hot, then add 3-4 tablespoons of vegetable oil. Smash all the crab shell into small pieces with a heavy knife or rolling pin, then place in the roasting tray. Stir once, then return to the oven for 30 minutes, stirring halfway."
14,"Meanwhile, thinly slice all the vegetables, keeping the carrots separate. In a large pot, fry the carrots and star anise in a little vegetable oil with a generous pinch of salt, until lightly coloured. Add the rest of the vegetables and sweat over a medium heat for about 20 minutes.The shells should be lightly coloured. Deglaze the tray with the white wine, and reduce until dry. Add the shells to the pot of vegetables, and the tomato, roughly chopped. Add the cream to the pot, and bring to the boil. Simmer gently for 30 minutes, then roughly chop the herbs (reserving some chives and dill for the salad) and add to the pot. Cover with cling film and leave to infuse for 30 minutes."
14,"Pass the crab cream through a fine sieve, rinsing the shell pulp with the milk. Discard the pulp. Taste the cream and adjust the seasoning if it needs. Weigh the cream, and then place 1 egg yolk for every 100g of cream in a separate pan. Boil the cream, then pour slowly over the egg yolks, whisking constantly. Now heat the crab custard over a low heat, stirring constantly with a plastic spatula to ensure it doesn’t stick. When it is thick, and coats the back of the spatula (should be 80C), it is ready. Pour into 6 wide crème brûlée dishes, filling only to 2mm deep. You may have some custard left over which you can just set in separate ramekins to be enjoyed on their own. Place the ramekins in the fridge to set, for at least two hours."
14,"To make the crab salad: finely slice the lettuce and the spring onion, cut the reserved chives and pick the dill into fronds. Place everything in a bowl with the picked crab meat, the croutons and add just enough mayonnaise to lightly bind it together; you may not need all of it, it depends on how much crab meat you have. Season with sea salt if it needs, and lemon juice. Divide the mixture into 6 and place in the middle of the custard ramekins. Finally sprinkle over a little cayenne pepper."
,
15,"Lightly toast the bagels, fry the bacon until crispy. Peel the avocado, remove the stone and cut into slices. Season the slices with sea salt, black pepper, olive oil and lime juice. Give half an avocado per portion. Layer the fillings generously, as shown in the photo."
,
16,"Heat the oven to 170C. Add about 2 tablespoons of olive oil to a roasting tray and get it hot. Reserve 3 cloves for the garnish later, then cut the tops off the bulbs of garlic so the tips of the cloves are poking out, then add to the roasting tray along with the rosemary and roast for about 45 minutes until the garlic is completely soft and oozing out of its skins."
16,"Meanwhile finely slice the onion and sweat in a medium pot with olive oil, and a pinch of sea salt. Cook over a medium heat for about 25 minutes until the onion is soft, sweet and slightly caramelised. Peel the potato and finely slice it. Add to the pot and continue to cook, stirring occasionally. Squeeze the garlic out of its skins and add the soft pulp to the pot along with the cream and brown chicken stock. Simmer gently for 20 minutes, then pour everything into a food processor and blend until completely puréed and silky smooth. If it’s a little too thick, add a splash of chicken stock."
16,"To garnish the soup, finely slice the 3 reserved garlic cloves with a sharp knife (or a mandolin, if you have one) and sauté in a little olive oil until they are lightly coloured. Be careful as they will taste bitter if you let them get too dark. Scatter these over the soup along with some finely chopped chives."
,
17,"Make the pastry: mix the flour with 1/2 teaspoon of salt. Cut the butter into small dice and rub into the flour with your fingertips until it resembles fine breadcrumbs. Add the water and mix until you have a soft dough. Knead briefly, but don't overwork as this will develop the gluten causing the pastry to be less crisp. Divide into however many portions you are making, flatten into discs, wrap in clingfilm and refrigerate for at least 1 hour. Roll the pastry discs into circles 2mm thick; they should be 1 inch wider in diameter than the tart cases. Carefully line the tart cases and press into the edges ensuring it is an even thickness all around. Refrigerate for 30 minutes. Heat the oven to 200C."
17,"Blind bake the pastry by lining with foil, then filling with dried beans or rice, making sure it is packed all the way into the corners. Place in the oven for 10 minutes, then turn down to 170C and bake for a further 10 minutes, or until the outside of the pastry is light golden. Now remove the foil packets and return to the oven for a further 10-15 minutes, until the pastry is golden and crisp, inside and out. This may take a bit longer depending on your oven. Remove and allow to cook on a rack."
17,"Once the pastry is cool, fill each pastry case with 2-3 tablespoons of red onion chutney, and 3 slices of goat's cheese. Pick some individual thyme leaves and scatter over the cheese, then place under the grill to gently melt. Garnish with the spinach leaves, dressed lightly with olive oil. Serve with a nice salad."
,
18,"Place the Arbroath smokies, thyme and bay in a large shallow pan and cover with the milk. Bring to the boil, cover and leave to infuse for 30 minutes. In the meantime thinly slice the onion, garlic, and the white part of the leeks. Heat about 2 tablespoons of olive oil in a medium pan and slowly fry the vegetables for about 20 minutes, until soft. Peel and thinly slice ¾ of the potato and add to the pan. Dice the rest of the potato into 5mm cubes and set aside to be sautéed for the garnish."
18,"Remove the smokies from the milk and carefully pick the meat away from the bone, discarding the skin. Set the flaked fish aside. Pass the milk through a sieve into the pan of vegetables. Add the cream, and simmer gently for 10 minutes, until the potatoes are cooked. Pour everything into a blender, add ¾ of the flaked smokies and the butter and blend on full power for 5 minutes, until the soup is very smooth and silky. Taste and adjust the seasoning if necessary."
18,"Heat  about 1 tablespoon of olive oil in a frying pan, and fry the potato dice on a medium heat for 5-10 minutes, or until they are tender and a light golden colour. Drain on some kitchen paper and set aside."
18,"Garnish the soup with thinly sliced spring onions, the remainder of the flaked smokies, and the sautéed potato dice."
,
19,"To make crispy aubergine slices, you need to remove most of the water from the aubergine. It’s like a sponge, and holds a lot of moisture. Slice them and salt them to draw it out. This way they will go nice and crisp when you bake them."
19,"Heat the oven to 180C. Gently squeeze out the liquid from the aubergine slices, being careful not to break them. Arrange them on a baking tray and flatten them out. Sprinkle with a little black pepper, but no salt. Drizzle with olive oil and bake in the oven for about 15 minutes, turning them over halfway, until they are golden and crisp. Remove from the oven and leave to drain on some kitchen paper."
19,"To assemble the salad: slice the tomato into 2mm slices and season each slice with sea salt, cracked black pepper and olive oil. Arrange the aubergine slices alternating with the tomato as shown in the photo. Garnish with basil leaves, parmesan shavings and balsamic vinegar."
,
20,"Pour boiling water onto dates, add bicarb and leave to soak."
20,"Cream butter and sugar until smooth, add eggs and combine."
20,"Sift flour and baking powder into egg mix, stir until flour is completely mixed through."
20,"Mix in the date mixture, add espresso then pour everything into a baking tray/cake tin and bake at about 180C for roughly 40mins. (It's hard to say the exact time) It's done when you stick a skewer into the middle and it only just comes out with no raw mixture stuck to it."
,
21,"Set 12 mushrooms aside, and slice the rest of them in half. Sprinkle the halved mushrooms with the sea salt so they're evenly covered, then place in a colander set over a bowl. Leave in the fridge for about 6 hours, or overnight."
21,"Heat the oven to 180C, and put a medium sized roasting tray in to heat up. Briefly rinse the mushrooms with cold water, then squeeze them with your hands to remove as much moisture as possible. Pat them dry with kitchen paper. Heat 2 tablespoons of the olive oil in the roasting tray, then add the mushrooms along with 2 sprigs of rosemary. Roast the mushrooms, tossing occasionally, until they are dark and caramelised."
21,"Meanwhile, thinly slice the onion and garlic, and dice the bacon. Heat 2 tablespoons of olive oil in a medium pot and fry the bacon over a high heat until crisp. Turn the heat down and sweat the onion and garlic slowly for about 20 minutes, until soft and sweet. Once the mushrooms are nicely coloured, remove the rosemary from the roasting tray and add the mushrooms to the pan of onions. Add about 1 litre of chicken stock - enough to just cover the mushrooms - and bring to a gentle simmer. Cover with a lid, and simmer for 30 minutes, topping up with chicken stock when it reduces too much. Blend the soup in a food processor on full power for 5 minutes, until you have a silky smooth texture. You may need to add a little more stock to get the required consistency."
21,"To finish; slice the 12 reserved mushrooms in half, season with salt and sauté them to get a nice roasted colour. Pick the leaves from the remaining rosemary sprig and fry these in olive oil until just crisp. Scatter the mushrooms and rosemary over the soup along with a drizzle of olive oil."
,
22,"Carefully remove the bone from the short saddle, being careful not to leave any of the meat attached to the bone. Trim off the skin from the layer of fat, being very careful not to make any holes in the flap, as we need this intact in order to wrap around the loins. You now have 2 pieces of loin with a flap of fat attached to each. Place the layer of fat on a chopping board and bash it out with the flat part of a heavy knife, to flatten the fat to a nice thin layer. Again, be careful not to make any holes. Place the loins in the fridge."
22,"Get a medium pan hot on the stove, and sauté the spinach with a pinch of salt until gently wilted. Transfer to a colander and leave to chill in the fridge. Meanwhile, finely chop the shallot and garlic and sweat slowly in olive oil until soft. Transfer to a bowl. Roughly chop the black olive and add to the bowl. Now take the lamb kidneys and remove the outer membrane. Cut in half lengthways and cut out the white gristle from inside. Cut the kidneys into 5mm dice, then fry in a hot pan until lightly coloured. Remove, and add to the bowl with the shallots, garlic and olive. Once the spinach is cold, squeeze all the remaining moisture from it by wringing in your hands. Mix together with the kidney and shallot mixture. Season to taste with salt and cracked black pepper."
22,"Divide the mix into two, one half for each loin. Lay out the loin on a board with the fat facing towards you. Place the spinach mix tight into the join of where the loin meets the fat, then roll it up, with the fat wrapping around the loin. Tie securely with butcher's twine. Repeat with the other loin. Place the stuffed saddles in the fridge for 30 minutes to set."
22,"Heat the oven to 180C. Cut 2mm slices off the courgettes lengthways, taking only the vibrant skin from the outside, and reserve the inner white part for another recipe. Cut the slices into thin strips. Set aside. Get a heavy based frying pan hot on the stove, and fry the stuffed saddles until lightly coloured all over. Place in the oven for 3 minutes, then turn over. Return to the oven for 5 minutes, or until the inside temperature reaches 55C, which is medium rare. Leave the meat to rest on a rack for 15-20 minutes. Just before carving the meat, sauté the courgettes in olive oil until just cooked, and season with sea salt. Carve each loin into 3 pieces, and place on top of the spaghetti of courgettes. Serve with some nice crusty bread and a glass of white wine."
,
23,"Heat the oven to 170C. Prick the potatoes with a skewer, then place in the oven for about 1hr 30mins, until soft and cooked through. Cut the potatoes in half, then scoop the potato from the skins and either mash with a masher or pass through a sieve. Place into a wide-based pan, and over a medium-low heat, add ½ teaspoon of salt, and mix. Add 30g of the butter, one dice at a time, then add the milk. Continue to cook out until you have a completely smooth, silky texture. Adjust the seasoning with salt and white pepper if need be."
23,"While you’re waiting for the potatoes, make the sauce: trim the pork fillets of all sinew, and cut off the small head or “chateau” from the end. Cut all the trimmings approximately 1cm dice. In a large, heavy-based pan, heat 1-2 tablespoons of vegetable oil over a high heat. Season the trimmings with salt and black pepper, then fry until golden all over, and strain in a colander. Meanwhile, thinly slice the shallots, and crush the clove of garlic. Add the shallots, thyme, bay, sage and garlic to the same pan and turn the heat to medium. Add a pinch of salt, and gently cook the shallots for about 10 minutes, until they are soft. Add the pork trimmings back to the pan, along with the brandy. Boil, and reduce until completely dry. Now cover with cold water, and boil to reduce until dry. Repeat this 3 times, but on the last time, only reduce by half, then strain the sauce into a separate pan. Add the cream, and continue to reduce until you have a nice sauce consistency. Lastly, add the mustard, and mix."
23,"To cook the pork fillet: heat 2 tablespoons of vegetable oil in a large heavy-based pan over a high heat. Season the fillets all over with salt and white pepper. Fry the fillets all over until golden and caramelised. Place the pan in the oven for 3 minutes. Remove from the oven, and add the remaining 25g butter. Heat until foaming, then add 1 sprig of thyme and 1 crushed clove of garlic. Baste the pork fillet for about 2 minutes, turning over after 1 minute. Cook until the pork is still slightly pink in the middle. Transfer to a rack and leave in a warm place to rest for at least 10 minutes."
23,"Prepare the cabbage: Remove and discard the dark green outer layers. Take the inner leaves off and remove the woody veins. Thinly slice the cabbage, then set aside. Heat a little vegetable oil in a wide-based pan over a medium-high heat, and sauté the cabbage, with a pinch of salt, until lightly coloured. Turn the heat to low, then add the remaining 10g of butter. Cook gently until cabbage is tender taste, and add more salt if needed."
23,"To serve, place a spoonful of the mashed potato in the centre of the plate, with a spoonful of cabbage next to it. Slice the pork fillet, and place on top. Spoon the sauce over."
,
24,"Fill a large pan with water and bring to the boil. Turn down to a barely trembling simmer and leave. Place the smokies in a wide based pan and cover with the milk. Poach gently, not boiling, turning the fish frequently, until just warmed through. Set aside."
24,"Thinly slice the onions at an angle, then place in a large mixing bowl along with the spinach. Season with olive oil, salt and pepper and a little squeeze of lemon juice. Cut the courgette into quarters lengthways and cut out the soft pulp from the middle. Carefully cut into long ribbons. Season with sea salt and olive oil, then add to the bowl of salad."
24,"Carefully poach the eggs until just cooked. While the eggs are cooking, arrange the salad into 4 bowls. Flake the smoked fish over the top, and finish with the poached eggs, seasoning with a little salt and pepper."
,
25,
25,
25,
,
26,
26,
26,
,
27,"To make the tomato sauce; finely slice the onion and sweat in a couple of glugs of olive oil with a generous pinch of salt until the onions are completely softened. Now finely chop the garlic cloves and add to the pot along with the tomatoes, tomato purée, sugar and red wine. Bring to the boil, then gently simmer for about 8 hours until the sauce is rich and dark. purée the sauce in a blender and pass through a fine sieve. it should be fairly thick so that it coats the pasta nicely. If it's too thin, simmer it gently to reduce further. Season to taste with salt and black pepper."
27,"Cook your pasta according to the packet instructions while you finish the sauce: finely chop the anchovy fillets and gently fry in a little olive oil until they start to disintegrate, then add the tomato sauce and stir. Slice the olives and add to the sauce. Finely chop the parsley and roughly chop the basil and add to the sauce at the very end. When the pasta is ready, stir the sauce in; add just enough to coat the pasta nicely, it should be really thick. Serve with some red wine and crusy bread. Fantastic!"
,
28,"Place the egg yolks, 50g of sugar and coffee in a bowl and whisk over a pan of simmering water until thick and silky to create a sabayon. Mix in the chocolate and stir until melted. Take off the heat and set aside."
28,"Quickly whip the cream until it forms soft peaks. In a separate bowl, whisk the egg whites until they also form soft peaks, then gradually add the remaining 25g of caster sugar whilst continuing to whisk vigorously, until fully incorporated. Set aside. Pour the chocolate sabayon into another bowl to cool it slightly (it should be around 35-40 C), then fold the cream in stages, mixing the first spoonful vigorously to stabilise the mixture so it doesn't sieze. Once the cream is mixed in, gently fold the egg white mixture in."
28,Pour the mousse into moulds or dishes and leave in the fridge for a minimum of 6 hours to set.
,
29,"Remove the breasts from the chicken and set aside. Chop the remaining carcass, including the legs and wings, into small pieces. Cut all the vegetables into approx. 1cm dice, set aside. Get a large heavy based pan on a high heat and colour the bones in 2 batches until golden and caramelised. Add a knob of butter at the end of each batch and foam for a few minutes, to enrich and brown the bones further, then drain the butter off in a colander. Add the vegetables, the garlic, coriander seeds and peppercorns to the same pan, which should have some dark intense residue stuck to the bottom, and sweat gently for about 15- 20 minutes, until soft and sweet. All the tasty chicken residue should have melted into the vegetables. Put the chicken bones back into the pan, and add the sherry and red wine. Reduce the alcohol until completely dry, then cover with cold water. Bring to the boil, skimming any fat and scum that rises. Simmer gently for 2 hours, skimming frequently. Pass through a fine sieve and set aside."
29,"When the stock is almost ready, ladle some out into a small pan and gently poach the chicken breasts, just covered with hot stock but not boiling, turning the breasts every few minutes. Remove when they are just barely cooked, and allow to cool. While the stock is cooking, prepare the vegetables for the broth: cut the carrot, celeriac, swede and onion into 5mm dice, and finely chop the garlic. Sweat the onion and garlic in vegetable oil for about 5 minutes, until soft. Add the carrot and cook for about 5 minutes, add the swede and cook for a further 2 minutes, then finally add the celeriac. Sweat until all the veg is nicely cooked, then remove from the heat. Cut the cooked chicken breast into 5mm dice and set aside. When the stock is ready, season to taste with salt and pour just enough over the diced vegetables, ensuring to leave it nice and thick. You may have some leftover. Add the chicken dice and gently warm through. Finally chop the coriander and stir through at the very end."
,
30,"It's best to make the pastry the day before so it has time so fully chill in the fridge. Mix together the flour, sugar and salt in a large bowl. Dice the butter into small cubes, then rub into the flour with your fingertips until you have a mixture that resembles fine breadcrumbs. Add the ice cold water, and bring together into a dough. Knead briefly until smooth, but don't overwork as this will develop the gluten in the flour and cause the pastry to become bread-like instead of crumbly and crisp. Wrap in cling film and leave in the fridge to chill for at least 3 hours, preferably overnight."
30,"Roll out the pastry until you have a disc about 35cm in diameter and about 3mm thick. Carefully line the cake ring with the pastry, ensuring an even thickness around the sides and letting it hang over the top and outside of the ring. Place back in the fridge for 1 hour to chill. Heat the oven to 200C."
30,"Line the pastry case with aluminium foil and fill with rice. To blind bake the pastry, place in the oven at 200C for 10 minutes, then reduce the heat to 170C and cook for a further 15 - 20 minutes, or until the outside of the pastry is golden. Carefully remove the foil and rice from the pastry and prick all over the bottom with a fork. Return to the oven until the pastry is golden and crisp all over. Leave to cool."
30,"For the custard: (this recipe is for a 9x2 inch tart, if you have a smaller cake ring, adjust the quantities accordingly) place the egg yolks and sugar in a bowl and whisk to combine. Bring the cream to the boil and pour it over the eggs whilst whisking. Once fully mixed, pour into the pastry case, filling to the very brim. Cook in the oven for about 45 minutes, until there is a jelly-like quiver when you shake it. Leave to cool to room temperature before serving."
,
31,"Remove the skin from the chicken thighs, and carefully remove the bone and gristly bits. Lay out the pancetta 3 rashers at a time on a board, and lay the chicken on top. Season with salt and pepper, then roll them up so the chicken is wrapped in the pancetta. Place in the fridge."
31,"Heat the oven to 180C. Quarter the mushrooms, then sauté in in vegetable oil in a hot pan, in small batches, until caramelised and golden. Finely chop the shallots and garlic, and add to the same pan you cooked the mushrooms in. Sweat until soft, about 10 minutes. While the shallots are cooking, get a frying pan (with a metal handle as it is going into the oven) and place it on the heat. When it's nice and hot, fry the wrapped chicken thighs until the pancetta is crispy all around, then place in the oven for about 10 minutes, until the chicken is cooked. Check by inserting a skewer into the middle and touching it on your lip to see if it's hot."
31,"In a small frying pan, heat 2 tablespoons of vegetable oil and fry the picked rosemary until crisp. Drain on kitchen paper and set aside."
31,"Add the white wine to the shallots, and reduce until dry. Add the cream and the mushrooms, and reduce gently until the sauce is a nice thick consistency. Cut the courgettes into dice and simmer in the sauce until just cooked, then add the parsley and the spinach. Stir briefly, and serve. Slice each thigh into 3 pieces and serve."
,
32,"To make the pastry: cut the butter into small dice, and rub into the flour and salt with fingertips until it resembles fine breadcrumbs. Mix the water in and knead very briefly to incorporate. Don’t overwork. Wrap, and refrigerate for at least an hour, preferably overnight."
32,"Roll the pastry out until you have a circle about 35cm in diameter and 3-4 mm thick. Take a 9 x 2 inch plain ring and place on a tray lined with parchment paper. Carefully line the ring with the pastry, being careful to press evenly into the sides and corners. Leave about an inch of pastry hanging over the edge. This will help prevent it from shrinking inwards when baking. Reserve trimmings for patching any cracks in the pastry later. Heat the oven to 190 C. Place the pastry shell in the fridge or freezer for at least 20 minutes before cooking."
32,"Now line the pastry with a round of parchment paper and fill with dried beans or rice, pressing gently to fill the shell completely. Blind-bake the pastry for 35 to 45 minutes, until the outside of the pastry is golden and crisp but the inside still light. Remove the beans and parchment paper and return the shell to the oven for a further 20-30 minutes, until golden and crisp inside and out. Patch any cracks with the trimmings, returning to the oven for a further 5 minutes."
32,"Heat the oven to 165 C, then prepare the filling: take three large leeks and slice thinly, discarding the dark green part or reserving for another recipe. Cook in a large pot of salted boiling water for 3-4 minutes, until tender. Drain on kitchen paper. Wilt the spinach by searing in a hot pan with a glug of olive oil, adding a pinch of salt. Mix with the cooked leeks. For the batter, heat the milk, cream and salt in a pan until a skin just begins to form on the surface. Place 3 eggs, half the cream mixture, 3 gratings of nutmeg and half the white pepper in a blender and blitz for about 30 seconds until foamy and light. Spread out half the leek mixture and half the roquefort in the bottom of the quiche shell, and pour over enough batter to just cover. Repeat with the remaining filling and batter mix. Fill the quiche to the very brim. Reserve any left over filling. Carefully place in the oven being careful not to spill any of the mix. Cook for about 1 ½ hours, until the quiche is nicely brown and the custard just set when jiggled. After about 20 minutes the custard will have sunk slightly in the middle as some of the air escapes the mix; simply top up with the leftover batter and return to the oven. Refrigerate for at least a day, or up to 3 days, until completely set. Slice into portions and reheat gently in the oven. Alternatively, it is just as excellent eaten cold."
,
33,"Wash the chickpeas in cold water, then cover with at least twice their volume of water and leave overnight."
33,"Drain the chickpeas. Place a medium-large pot on a high heat, then add the chickpeas and the bicarbonate of soda. Cook, whilst stirring, for about 3 minutes, then add 1.5litres of cold water and bring to the boil, skimming any scum that rises. Simmer gently for 20-40 minutes, or until the chickpeas are very tender but not mushy."
33,"Drain the chickpeas and place in a food processor. Blend until you have a thick paste, then, with the machine running, add the tahini paste, lemon juice, garlic and 1 ½ teaspoons of salt. Lastly, add the iced water gradually and mix until you have a very smooth creamy paste. Place the hummus in a bowl, cover with clingfilm and leave to rest for 30 minutes before eating."
,
34,"Cut the bacon into lardons and, in a large pot, fry until crispy. Meanwhile, cut the carrot, onion and celery into 5mm dice, and peel and finely chop the garlic. Once the bacon is nice and caramelised, add the onion, garlic and celery. Turn the heat down and sweat gently for 15 minutes, until the onions are soft and dark. Add the basmati rice, carrots, thyme and oregano and fry over a medium heat for 5 minutes. Now add the tomatoes, the tomato purée and the stock. Bring to the boil then simmer gently for 30 minutes. Finish with some torn or chopped basil leaves, then and serve with fresh crusty bread."
,
35,"Sprinkle the guinea fowl legs in sea salt and cracked black pepper and place in the fridge overnight, or 8 hours. Rinse the salt off, then place in a pot just big enough to fit them in snugly. Add the duck fat, and cook gently for about 1 hour, or until the legs are tender. Transfer to a container, pour the fat over and refrigerate. Leave for at least one week for the flavours to mature, or up to 2 months. The confit will keep for a long time preserved like this."
